title,summary,n_enrolled,course_type,Level,subject,language,course_length,price,price_level
What Every Provider Should Know: Clinical Fundamentals,"Regardless of where physicians practice they are expected to be calm, cool, and collected when confronted with undifferentiated, critically ill patients. Medical education in most countries however, focuses on approaching patients in a methodical, time intensive manner. Although this approach can be effective for certain patients and settings, it can prove disastrous during those moments when time is of the essence. The specialty of Emergency Medicine (EM) centers on rapidly sorting, assessing, and stabilizing undifferentiated patients regardless of the etiology of their condition. Designed by educational leaders in the field of EM, this course is designed to teach healthcare providers the necessary skills to recognize and manage patients with life-threatening emergencies.",0,Self-paced on your time,Introductory,Medicine,English,10,50,Low
Análisis e interpretación de información económica y financiera,"Desarrolla un entendimiento más amplio y completo de los mercados financieros, la política monetaria, la política fiscal, las variables económicas y cómo interactúan entre ellos afectando variables como los precios y la toma de decisiones de los agentes.",5891,Self-paced on your time,Intermediate,Economics & Finance,Español,5,49,Low
AWS IoT: Developing and Deploying an Internet of Things,,8884,Self-paced on your time,Intermediate,Computer Science,English,4,99,Medium
Measuring Sustainable Development,"The United Nations Sustainable Development Goals are an ambitious global agenda for prosperity, people, and planet. But how do we know if we are on track to achieve the SDGs? Which Goals should different stakeholders prioritize? And what kind of data do we need to ensure that no one is left behind?",0,Self-paced on your time,Intermediate,Data Analysis & Statistics,English,5,25,Low
Embedded Systems - Shape The World: Multi-Threaded Interfacing,,27814,Self-paced on your time,Intermediate,Computer Science,English,8,49,Low
Hong Kong Cinema through a Global Lens | 全球化下的香港电影,"Explore globalization through Hong Kong film classics of Bruce Lee, Jackie Chan, and Maggie Cheung, among others. 透过李小龙、成龙和张曼玉等国际巨星曾演出的经典香港电影，探索全球一体化概念。",12458,Instructor-led on a course schedule,Introductory,Humanities,English,6,50,Low
Image Processing and Analysis for Life Scientists,Basic image analysis for life scientists with a non-engineering background. The main goal is to teach how to address and solve scientific questions by state of the art image analysis strategies.,8621,Self-paced on your time,Intermediate,Data Analysis & Statistics,English,7,199,High
La protección del menor,,7654,Self-paced on your time,Introductory,Law,Español,5,49,Low
Globalization: Past and Future,Is globalization a new phenomenon or a cyclical pattern throughout human history?,10127,Self-paced on your time,Introductory,History,English,4,25,Low
Star Trek: Inspiring Culture and Technology,Explore the impact and influence of Star Trek on today's society and technology.,6521,Self-paced on your time,Introductory,History,English,7,40,Low
Qué funciona en educación: políticas educativas basadas en evidencia,"Aprende qué funciona en educación: cómo identificar, analizar e implementar políticas educativas que efectivamente mejoran aprendizajes.",15701,Self-paced on your time,Introductory,Education & Teacher Training,Español,10,25,Low
"Introduction to Cloud Development with HTML5, CSS3, and JavaScript","Learn the key tools and programming languages to bootstrap your career as a Cloud Developer. Get started with web development using HTML5, CSS3, JavaScript and GitHub.",0,Self-paced on your time,Introductory,Computer Science,English,4,99,Medium
Tools for Academic Engagement in Public Policy,"Many scientists and engineers seek to engage with policymakers and there is a clear need for them to do so. However, very few receive the training necessary to effectively impact public policy. This online module will provide an introduction to the policymaking process and practical tips for engaging with the policy community.",5035,Self-paced on your time,Introductory,Communication,English,3,199,High
Theory of Change for Development,Learn to use a Theory of Change approach to betterunderstand your development program's impact and improve your results.,10736,Self-paced on your time,Introductory,Social Sciences,English,7,199,High
Monozukuri: Making Things,"Learn the Japanese concept of Monozukuri: the art of ""making things"" starting with the philosophy including lectures from Tokyo Tech faculty, various examples from Japanese Industry, and the Tokyo Tech student clubs. In addition, the principles of experiental learning are also introduced.",0,Self-paced on your time,Introductory,Engineering,English,4,49,Low
Drug Discovery & Medicinal Chemistry,Learn how scientists in drug development modify and test molecules to improve potency and reduce toxicity. Discover the criteria that regulatory agencies use to approve molecules that are shown to be both safe and effective as pharmaceuticals for the treatment and prevention of diseases.,0,Self-paced on your time,Intermediate,Medicine,English,5,99,Medium
Digital Biomaterials,"Learn and discover the special, exciting and new materials and technologies in dentistry to make a difference in tomorrow’s oral health care development. It is Digital Biomaterials by HKU Dental Materials Science!",0,Self-paced on your time,Introductory,Medicine,English,4,149,Medium
Natural Resources for Sustainable Development,"Explore the sustainable development opportunities and challenges in using oil, gas and minerals.",9668,Self-paced on your time,Intermediate,Energy & Earth Sciences,English,12,49,Low
Omnichannel Strategy and Management,Understand the needs of omnichannel customers and how to make the transition from a traditional retailer to omnichannel from TuckX and the Tuck School of Business at Dartmouth.,15860,Self-paced on your time,Intermediate,Business & Management,English,4,99,Medium
General Overview of Cannabis and the Industry’s Outlook and Professions,An in-depth view of cannabis and its potential uses.,5048,Self-paced on your time,Introductory,Environmental Studies,English,4,199,High
Amazon SageMaker: Simplifying Machine Learning Application Development,Learn to integrate Machine Learning into your apps with training from AWS experts--and without a data science background.,11765,Self-paced on your time,Intermediate,Computer Science,English,4,99,Medium
Formulación y nomenclatura de compuestos químicos,Aprenderemos cómo establecer las fórmulas de los compuestos químicos inorgánicos y orgánicos más usuales y las reglas para nombrarlos.,12748,Self-paced on your time,Introductory,Chemistry,Español,6,49,Low
Introducción a la factura electrónica,"Conoce los beneficios de la facturación electrónica. La implementación de la misma, busca facilitar la relación entre quienes facturan electrónicamente y quienes adquieren bienes que son facturados por ese medio.",5829,Self-paced on your time,Intermediate,Economics & Finance,Español,4,49,Low
Demand and Supply Analytics,Learn how to use data to develop insights and predictive capabilities to make better business decisions.,23585,Instructor-led on a course schedule,Intermediate,Business & Management,English,12,249,High
Advanced Algorithmics and Graph Theory with Python,"Strengthen your skills in algorithmics and graph theory, and gain experience in programming in Python along the way.",13502,Self-paced on your time,Intermediate,Computer Science,English,6,49,Low
Modern Japanese Architecture Part 1: From Meiji Restoration to the Pacific War,,0,Self-paced on your time,Intermediate,Architecture,English,5,59,Medium
Diagramas UML estructurales para la Ingeniería del Software,En la era de la información el desarrollo de software de calidad es un factor esencial. Desarrollar software de calidad implica conocer los modelos que dan lugar a dicho software.UMLes un estándar que permite abordar ese problemaen todos sus niveles.,5820,Self-paced on your time,Introductory,Computer Science,Español,5,50,Low
"A-level Mathematics for Year 12 - Course 2: Calculus, Newton’s Laws and Hypothesis Testing",,6232,Self-paced on your time,Intermediate,Math,English,7,49,Low
Fundamentos de Mecánica para Ingeniería,"Estudiaremos la cinemática y la dinámica del punto, los conceptos de trabajo y potencia y la energía mecánica.",14219,Self-paced on your time,Introductory,Physics,Español,6,49,Low
Leadership and Management for PM Practitioners in IT,Learn how to develop effective project management and leadership skills that are essential for successfully guiding diverse or distributed teams and projects.,21949,Self-paced on your time,Introductory,Business & Management,English,6,199,High
Entrepreneurship 103: Show Me The Money,"Your startup needs to get cash positive as soon as possible – and ultimately, profitable. This is how you get there.",15184,Self-paced on your time,Introductory,Business & Management,English,10,300,High
Historia de la ética,Una mirada hacia el pasado de la ética para poder afrontar mejor los problemas del futuro. Una visión crítica de la ética y la moral sin olvidar el sentido del humor.,9383,Self-paced on your time,Introductory,Philosophy & Ethics,Español,6,29,Low
Drainage in Agriculture: controlling water and salt levels in the soil,Get prepared for heavier rainfall and the increasing demand for food! The #1 Agricultural University of the world will teach you how to design and implement effective drainage systems in agriculture. You will learn how to create a perfect soil profile for optimal growing conditions for a crop and help feed the growing world population. Enrol now and prepare for the effects of climate change by draining excess water.,0,Self-paced on your time,Advanced,Environmental Studies,English,5,49,Low
Radio para internet con Podcast: creación y conceptos básicos,,6460,Self-paced on your time,Introductory,Communication,Español,6,50,Low
Introducción a los circuitos eléctricos,Curso introductorio de análisis de circuitos resistivos en corriente DC (corriente continua). Aprende la base fundamental del diseño de hardware relacionada a los circuitos.,11953,Self-paced on your time,Intermediate,Electronics,Español,5,49,Low
AP® Physics 1: Challenging Concepts,Master the most difficult topics in your AP® Physics 1 course with help from experienced AP® Physics teachers.,12145,Self-paced on your time,Introductory,Physics,English,8,49,Low
Introduction to Java Programming – Part 2,The first MOOC to teach the fundamental elements of Java programming and data abstraction.,71203,Self-paced on your time,Introductory,Computer Science,English,5,99,Medium
AP® Macroeconomics,Learn all material in the AP® Macroeconomics curriculum from highly regarded AP instructors and college professors.,29433,Self-paced on your time,Introductory,Economics & Finance,English,18,49,Low
Climate Change Education,Learn how to work with your students to help them explore climate change through the use of interactive and engaging activities. These activities are designed for students at the primary and secondary levels.,12056,Self-paced on your time,Introductory,Education & Teacher Training,English,10,25,Low
"Introducción al griego clásico: verbos, oraciones y filosofía","Continua tu periplo aprendiendo lo esencial del sistema verbal del griego clásico y de su sintaxis de la mano de contenidos culturales relacionados con la filosofía, la política y el amor en la Antigüedad.",0,Self-paced on your time,Introductory,Language,Español,5,49,Low
Applied Deep Learning Capstone Project,"In this capstone project, you'll use either Keras or PyTorch to develop, train, and test a Deep Learning model. Load and preprocess data for a real problem, build the model and then validate it.",8429,Self-paced on your time,Advanced,Data Analysis & Statistics,English,5,99,Medium
FinTech Ethics and Risks,"Learn how individuals and organizations can utilize and regulate blockchain, AI, and other FinTech solutions to ensure their adoption does not come at the expense of societal growth.",10696,Self-paced on your time,Introductory,Economics & Finance,English,6,199,High
