title,summary,n_enrolled,course_type,Level,subject,language,course_length,price,price_level
How to Learn Online,Learn essential strategies for successful online learning,124980,Self-paced on your time,Introductory,Education & Teacher Training,English,2,49,Low
Programming for Everybody (Getting Started with Python),"This course is a ""no prerequisite"" introduction to Python Programming. You will learn about variables, conditional execution, repeated execution and how we use functions. The homework is done in a web browser so you can do all of the programming assignments on a phone or public computer.",293864,Self-paced on your time,Introductory,Computer Science,English,7,49,Low
CS50's Introduction to Computer Science,An introduction to the intellectual enterprises of computer science and the art of programming.,2442271,Self-paced on your time,Introductory,Computer Science,English,12,90,Medium
The Analytics Edge,"Through inspiring examples and stories, discover the power of data and use analytics to provide an edge to your career and your life.",129555,Instructor-led on a course schedule,Intermediate,Data Analysis & Statistics,English,13,199,High
Marketing Analytics: Marketing Measurement Strategy,This course is part of a MicroMasters® Program,81140,Self-paced on your time,Introductory,Computer Science,English,4,249,High
Introduction to Project Management,Learn the principles of project management and apply them in your own work and life.,301793,Self-paced on your time,Introductory,Business & Management,English,6,199,High
Leading High-Performing Teams,"Learn how to motivate, engage and empower people to build effective and high performing teams.",32847,Self-paced on your time,Intermediate,Communication,English,10,5,Low
The Foundations of Happiness at Work,Learn why happiness at work matters and how to increase it within yourself and across your organization.,67073,Self-paced on your time,Introductory,Business & Management,English,4,199,High
"Managing Study, Stress and Mental Health at University","Develop a clearer understanding of what mental health is, and learn how best to recognise and respond to mental health concerns, such as negative thoughts and behaviours, in yourself and others.",23061,Self-paced on your time,Introductory,Health & Safety,English,2,49,Low
Six Sigma: Define and Measure,"An introduction to the Six Sigma methodology and the DMAIC cycle for process improvement with a focus on the Define and Measure phases, including basic statistics for understanding sampling plans and calculating process capability.",92411,Self-paced on your time,Introductory,Business & Management,English,8,99,Medium
Fat Chance: Probability from the Ground Up,Increase your quantitative reasoning skills through a deeper understanding of probability and statistics.,66835,Self-paced on your time,Introductory,Math,English,7,49,Low
Chasing your Dream: How to End Procrastination and Get a Job You Love,"According to the old saying, ""Choose a job you love, and you will never have to work a day in your life."" This courseis geared toward helping you find real purpose in your work and becoming the best version of yourself.",44711,Self-paced on your time,Introductory,Communication,English,5,49,Low
Bitcoin and Cryptocurrencies,This course is part of a Professional Certificate,83398,Self-paced on your time,Introductory,Computer Science,English,6,99,Medium
English Grammar and Style,Learn key concepts and strategies in grammar and style to help enhance your writing and confidently respond to the demand of high levels of literacy in the 21st century.,0,Instructor-led on a course schedule,Introductory,Humanities,English,8,99,Medium
Ethics in Action,What do the world's great religious and secular philosophies have to say about ethical conduct? Which virtues are common across faiths? And what role do religious communities have to play in building a more just and sustainable world?,6366,Self-paced on your time,Intermediate,Ethics,English,10,49,Low
Introduction to FinTech,"Learn from leading academics and practitioners from around the world about the innovations, technology and regulation driving the transformation of finance.",72767,Self-paced on your time,Introductory,Economics & Finance,English,6,199,High
Data Science: R Basics,"Build a foundation in R and learn how to wrangle, analyze, and visualize data.",528782,Self-paced on your time,Introductory,Data Analysis & Statistics,English,8,49,Low
Python Basics for Data Science,"This Python course provides a beginner-friendly introduction to Python for Data Science. Practice through lab exercises, and you'll be ready to create your first Python scripts on your own!",228809,Self-paced on your time,Introductory,Data Analysis & Statistics,English,5,39,Low
The Science of Beer,"Are you interested in more than just the taste of beer? Discover what's in your beer, howit's made and marketed and the effectit hason your body and health.",39085,Self-paced on your time,Introductory,Food & Nutrition,English,6,49,Low
Strategic Social Media Marketing,Learn how to drive social media engagement by linking strategy and tactics and measuring results.,103640,Instructor-led on a course schedule,Advanced,Business & Management,English,6,399,High
CS50's Introduction to Artificial Intelligence with Python,Learn to use machine learning in Python in this introductory course on artificial intelligence.,258006,Self-paced on your time,Introductory,Computer Science,English,7,199,High
CS50's Introduction to Game Development,This course is part of a Professional Certificate,346748,Self-paced on your time,Intermediate,Computer Science,English,12,149,Medium
Rhetoric: The Art of Persuasive Writing and Public Speaking,Gain critical communication skills in writing and public speaking with this introduction to American political rhetoric.,320225,Self-paced on your time,Introductory,Humanities,English,8,99,Medium
CS50's Web Programming with Python and JavaScript,"This course picks up where CS50 leaves off, diving more deeply into the design and implementation of web apps with Python, JavaScript, and SQL using frameworks like Django, React, and Bootstrap.",698950,Self-paced on your time,Intermediate,Computer Science,English,12,90,Medium
Contract Law: From Trust to Promise to Contract,"Contracts are a part of our everyday life, arising in collaboration, trust, promise and credit. How are contracts formed? What makes a contract enforceable? What happens when one party breaks a promise?",414181,Self-paced on your time,Intermediate,Business & Management,English,8,125,Medium
"Fundamentals of Neuroscience, Part 1: The Electrical Properties of the Neuron",Learn how electricity makes the neurons in your brain tick.,380167,Self-paced on your time,Introductory,Biology & Life Sciences,English,5,99,Medium
Justice,This introduction to moral and political philosophy is one of the most popular courses taught at Harvard College.,392588,Self-paced on your time,Introductory,Humanities,English,12,99,Medium
Data Science: Machine Learning,Build a movie recommendation system and learn the science behind one of the most popular and successful data science techniques.,276209,Self-paced on your time,Introductory,Data Analysis & Statistics,English,8,49,Low
Child Protection: Children's Rights in Theory and Practice,"Learn how to protect children from violence, exploitation, and neglect through law, policy, and practice in a human rights framework.",212453,Self-paced on your time,Introductory,Social Sciences,English,16,99,Medium
IELTS Academic Test Preparation,"Prepare for the IELTS Academic tests in this comprehensive, self-paced course covering listening, speaking, reading and writing.",1103777,Self-paced on your time,Introductory,Communication,English,8,99,Medium
The Architectural Imagination,Learn fundamental principles of architecture — as an academic subject or a professional career — by studying some of history’s most important buildings.,406181,Self-paced on your time,Introductory,Architecture,English,10,99,Medium
TOEFL® Test Preparation: The Insider’s Guide,Prepare for the TOEFL® test and learn how to improve your score and English language skills from the experts who create the exam.,1022489,Self-paced on your time,Introductory,Communication,English,6,49,Low
Principles of Biochemistry,"This introduction to biochemistry explores the molecules of life, starting at simple building blocks and culminating in complex metabolism.",257600,Self-paced on your time,Intermediate,Medicine,English,15,199,High
Using Python for Research,Take your introductory knowledge of Python programming to the next level and learn how to use Python 3 for your research.,262183,Self-paced on your time,Intermediate,Computer Science,English,12,99,Medium
Hinduism Through Its Scriptures,"Learn about the rich diversity of Hindu sacred texts – hymns, narratives, philosophical thought – and their interpretations.",140782,Self-paced on your time,Introductory,Humanities,English,4,99,Medium
Basic Spanish 1: Getting Started,"Learn Spanish and explore Spanish culture in this introductory language course, designed for English speakers.",400169,Self-paced on your time,Introductory,Communication,English,7,40,Low
The Health Effects of Climate Change,"Learnhow global warming impacts human health, and the wayswe can diminish those impacts.",110024,Self-paced on your time,Introductory,Environmental Studies,English,7,99,Medium
Inglés básico: conversacional y networking,Cumple tu meta de aprender inglés básico para utilizarlo de forma estratégica en los negocios e incrementar tu éxito profesional.,79671,Self-paced on your time,Introductory,Business & Management,Español,4,49,Low
Statistics and R,An introduction to basic statistical concepts and R programming skills necessary for analyzing data in the life sciences.,314586,Self-paced on your time,Intermediate,Data Analysis & Statistics,English,4,249,High
Science & Cooking: From Haute Cuisine to Soft Matter Science (chemistry),"Top chefs and Harvard researchers explore how everyday cooking and haute cuisine can illuminate basic principles in chemistry, physics, and engineering. Learn about food molecules and how chemical reactions can affect food texture and flavor.",145011,Self-paced on your time,Introductory,Chemistry,English,16,199,High
Pyramids of Giza: Ancient Egyptian Art and Archaeology,"Explore the archaeology, history, art, and hieroglyphs surrounding the famous Egyptian Pyramids at Giza. Learn about Old Kingdom pharaohs and elites, tombs, temples, the Sphinx, and how new technology is unlocking their secrets.",123870,Self-paced on your time,Introductory,Art & Culture,English,8,99,Medium
"PredictionX: Omens, Oracles & Prophecies","This course is an overview of divination systems, ranging from ancient Chinese bone burning to modern astrology.",91566,Self-paced on your time,Introductory,Social Sciences,English,1,25,Low
Excel: Fundamentos y herramientas,"En este curso aprenderás las herramientas más habituales de Microsoft Excel, desde lo más básico a los gráficos, funciones y tablas de datos.",284279,Self-paced on your time,Introductory,Computer Science,Español,8,50,Low
Lessons from Ebola: Preventing the Next Pandemic,"Understanding the context for the Ebola outbreak: What went right, what went wrong, and how we can all do better.",91983,Self-paced on your time,Introductory,Social Sciences,English,4,49,Low
Improving Global Health: Focusing on Quality and Safety,An introduction to the emerging field of global healthcare quality.,127353,Self-paced on your time,Intermediate,Social Sciences,English,10,99,Medium
CS50 for Lawyers,,87336,Self-paced on your time,Introductory,Computer Science,English,10,99,Medium
Data Science: Visualization,Learn basic data visualization principles and how to apply them using ggplot2.,171258,Self-paced on your time,Introductory,Data Analysis & Statistics,English,8,49,Low
Christianity Through Its Scriptures,"Learn about Christianity through a study of its sacred scriptures. We will explore how diverse Christians have interpreted these writings and practiced their teachings over a 2000 year, global history.",125051,Self-paced on your time,Introductory,Humanities,English,4,99,Medium
The Science of Happiness,"The first MOOC to teach positive psychology. Learn science-based principles and practices for a happy, meaningful life.",475614,Self-paced on your time,Introductory,Social Sciences,English,11,169,High
Leaders of Learning,Explore and understand your own theories of learning and leadership. Gain the tools to imagine and build the future of learning.,231131,Self-paced on your time,Introductory,Communication,English,10,99,Medium
Exercising Leadership: Foundational Principles,Mobilize people to tackle tough problems and build the capacity to thrive through the dangers of change,57814,Self-paced on your time,Introductory,Business & Management,English,4,99,Medium
Data Science: Probability,Learn probability theory -- essential for a data scientist -- using a case study on the financial crisis of 2007-2008.,135859,Self-paced on your time,Introductory,Data Analysis & Statistics,English,8,49,Low
Introduction to Data Wise: A Collaborative Process to Improve Learning & Teaching,,117410,Self-paced on your time,Intermediate,Education & Teacher Training,English,10,70,Medium
"Prescription Drug Regulation, Cost, and Access: Current Controversies in Context","Understand how the FDA regulates pharmaceuticals and explore debates on prescription drug costs, marketing, and testing.",80082,Self-paced on your time,Introductory,Medicine,English,8,99,Medium
Introduction to Family Engagement in Education,Learn about successful collaborations between families and educators and why they lead to improved outcomes for students and schools.,105146,Self-paced on your time,Introductory,Education & Teacher Training,English,6,70,Medium
Italian Language and Culture: Beginner (2019-2020),"Learn the basics of the Italian language and culture through videos, podcasts, interviews, and much more.",182462,Self-paced on your time,Introductory,Language,Italiano,12,49,Low
Steps in Japanese for Beginners1 Part1,Learn basic Japanese expressions to survive in Japanese.,53630,Self-paced on your time,Introductory,Language,English,5,49,Low
How to Write an Essay,"An introduction to academic writing for English Language Learners, focusing on essay development, grammatical correctness, and self-editing.",306787,Self-paced on your time,Introductory,Humanities,English,5,49,Low
Energy Within Environmental Constraints,A quantitative introduction to the energy system and its environmental impacts.,95324,Self-paced on your time,Introductory,Environmental Studies,English,10,99,Medium
Introduction to Probability,"Learn probability, an essential language and set of tools for understanding data, randomness, and uncertainty.",97291,Self-paced on your time,Intermediate,Data Analysis & Statistics,English,10,99,Medium
AnatomyX: Musculoskeletal Cases,Learn the anatomy basic to understanding five musculoskeletal injuries commonly seen in primary care medicine and orthopedic clinical specialty practice. Follow hypothetical patients from injury to operating room.,102075,Self-paced on your time,Intermediate,Medicine,English,7,99,Medium
Data Science: Inference and Modeling,"Learn inference and modeling, two of the most widely used statistical tools in data analysis.",88256,Self-paced on your time,Introductory,Data Analysis & Statistics,English,8,49,Low
Strengthening Community Health Worker Programs,Learn to deliver high-quality primary health care at scale through national community health worker programs.,58626,Self-paced on your time,Introductory,Health & Safety,English,6,79,Medium
Buddhism Through Its Scriptures,"Learn about the rich and diverse beliefs and practices of Buddhists across time and place. Experience Buddhism through its scriptures, both relationally as well as academically.",182295,Self-paced on your time,Introductory,Humanities,English,4,99,Medium
Introduction to Linux,Never learned Linux? Want a refresh? Develop a good working knowledge of Linux using both the graphical interface and command line across the major Linux distribution families.,642088,Self-paced on your time,Introductory,Computer Science,English,14,199,High
"Bioethics: The Law, Medicine, and Ethics of Reproductive Technologies and Genetics",An introduction to the study of bioethics and the application of legal and ethical reasoning.,81221,Self-paced on your time,Introductory,Medicine,English,10,99,Medium
Shakespeare's Life and Work,"Learn how to read William Shakespeare's plays through his biography, Elizabethan and Jacobean history, and modern performance.",48938,Self-paced on your time,Introductory,Humanities,English,4,49,Low
Marketing Digital: Content & Community Manager,"Aprende a crear estrategias de marketing de contenidos y domina Facebook, Instagram, YouTube, Twitter y más. Mide KPIs y obten resultados.",112623,Self-paced on your time,Introductory,Communication,Español,5,49,Low
Accounting and Finance,Develop financial acumen to manage your business successfully.,88243,Self-paced on your time,Intermediate,Business & Management,English,11,150,Medium
Computing in Python I: Fundamentals and Procedural Programming,"Learn the fundamentals of computing in Python, including variables, operators, and writing and debugging your own programs.",141966,Self-paced on your time,Introductory,Computer Science,English,5,99,Medium
"Nutrition, Exercise and Sports","Learn about Nutrition, Exercise and Sports and understand how nutrition can support exercise and sports performance.",51679,Self-paced on your time,Intermediate,Food & Nutrition,English,6,49,Low
Becoming an Entrepreneur,"Learn the business skills and startup mindset needed to embark on your entrepreneurial path from the premier program for aspiring entrepreneurs, MIT Launch.",104760,Self-paced on your time,Introductory,Business & Management,English,6,69,Medium
"Religion, Conflict and Peace",Explore the diverse and complex roles that religions play in both promoting and mitigating violence.,74060,Self-paced on your time,Introductory,Humanities,English,8,49,Low
"Tangible Things: Discovering History Through Artworks, Artifacts, Scientific Specimens, and the Stuff Around You","Gain an understanding of history, museum studies, and curation by looking at, organizing, and interpreting art, artifacts, scientific curiosities, and the stuff of everyday life.",61139,Self-paced on your time,Introductory,Humanities,English,10,49,Low
Academic and Business Writing,"An introduction to academic and business writing for English Language Learners, focusing on grammar, vocabulary, structure, editing, and publication.",322701,Self-paced on your time,Introductory,Communication,English,6,49,Low
Data Science: Capstone,Show what you've learned from the Professional Certificate Program in Data Science.,62803,Self-paced on your time,Introductory,Data Analysis & Statistics,English,2,99,Medium
Basics of Computing and Programming,This is a self-paced course from NYU that provides an Introduction to Computing and Programming,37045,Self-paced on your time,Introductory,Computer Science,English,9,200,High
"Fundamentals of Neuroscience, Part 2: Neurons and Networks",Discover how neurons work together to create complex networks inside the brain.,84874,Self-paced on your time,Introductory,Biology & Life Sciences,English,6,99,Medium
Successful Negotiation: Essential Strategies and Skills,Build negotiation skills and learn how to use and apply negotiation strategies to your life with the University of Michigan.,31369,Self-paced on your time,Introductory,Business & Management,English,7,49,Low
Data Science: Linear Regression,"Learn how to use R to implement linear regression, one of the most common statistical modeling approaches in data science.",75310,Self-paced on your time,Introductory,Data Analysis & Statistics,English,8,49,Low
HTML5 and CSS Fundamentals,"Learn how to build Web sites using HTML5 and basic CSS, directly from W3C, creator of the latest Web standards.",335895,Self-paced on your time,Introductory,Computer Science,English,6,199,High
Data Science: Productivity Tools,"Keep your projects organized and produce reproducible reports using GitHub, git, Unix/Linux, and RStudio.",66683,Self-paced on your time,Introductory,Data Analysis & Statistics,English,8,49,Low
Introduction to Corporate Finance,"Learn key financial concepts for evaluating and valuing investment opportunities, including how to value stocks and bonds.",98093,Self-paced on your time,Introductory,Business & Management,English,4,225,High
Computer Science 101,Introduction to Computer Science for a zero-prior-experience audience. Play with little phrases of code to understand what computers are all about.,39540,Self-paced on your time,Introductory,Computer Science,English,6,149,Medium
Data Science: Wrangling,Learn to process and convert raw data into formats needed for analysis.,64584,Self-paced on your time,Introductory,Data Analysis & Statistics,English,8,49,Low
A Hands-on Introduction to Engineering Simulations,Learn how to analyze real-world engineering problems using ANSYS simulation software and gain important professional skills sought by employers.,187138,Self-paced on your time,Intermediate,Engineering,English,6,199,High
AI for Everyone: Master the Basics,"Learn what Artificial Intelligence (AI) is by understanding its applications and key concepts including machine learning, deep learning and neural networks.",49340,Self-paced on your time,Introductory,Computer Science,English,4,49,Low
The Psychology of Criminal Justice,Learn how behavioural science can improve our criminal justice system.,110086,Self-paced on your time,Introductory,Humanities,English,8,99,Medium
Machine Learning with Python: A Practical Introduction,Machine Learning can be an incredibly beneficial tool to uncover hidden insights and predict future trends. This Machine Learning with Python course will give you all the tools you need to get started with supervised and unsupervised learning.,80161,Self-paced on your time,Introductory,Data Analysis & Statistics,English,5,39,Low
Analyzing Data with Python,"In this course, you will learn how to analyze data in Python using multi-dimensional arrays in numpy, manipulate DataFrames in pandas, use SciPy library of mathematical routines, and perform machine learning using scikit-learn!",94079,Self-paced on your time,Introductory,Data Analysis & Statistics,English,5,39,Low
Excel: gestión de datos,"En este curso profundizarás en las técnicas y herramientas para el tratamiento, manejo y análisis de datos que puedes utilizar en Microsoft Excel para la toma de decisiones.",111785,Self-paced on your time,Intermediate,Computer Science,Español,6,75,Medium
Probability - The Science of Uncertainty and Data,"Build foundational knowledge of data science with this introduction to probabilistic models, including random processes and the basic elements of statistical inference -- Part of the MITx MicroMasters program in Statistics and Data Science.",205615,Instructor-led on a course schedule,Advanced,Data Analysis & Statistics,English,16,300,High
"Fundamentals of Neuroscience, Part 3: The Brain",Discover what makes your brain tick in this third course in our introductory series in neuroscience.,85034,Self-paced on your time,Introductory,Biology & Life Sciences,English,8,99,Medium
Sikhism Through Its Scriptures,This course examines the Sikh scripture from a doctrinal and historical perspective by providing an overview of Sikh teachings as well as the historical context within which the scripture evolved and became canonized.,44125,Self-paced on your time,Introductory,Humanities,English,4,99,Medium
Upper-Intermediate English: Business and Modern Life,"Advance your English languageskillsas you learn how to rephrase sentences andprepare for an interview. Topics such as films, sports, and natural resources will also be discussed.",77991,Self-paced on your time,Intermediate,Language,English,4,50,Low
Introduction to Probability,"Learn probability, an essential language and set of tools for understanding data, randomness, and uncertainty.",97291,Self-paced on your time,Intermediate,Data Analysis & Statistics,English,10,99,Medium
Religious Literacy: Traditions and Scriptures,Learn how to better understand the rich and complex ways that religions function in historic and contemporary contexts.,96972,Self-paced on your time,Introductory,Humanities,English,4,99,Medium
Programación para todos (empezando con Python),"Este curso en línea es una introducción ""sin prerrequisitos"" a la programación en Python. Aprenderás sobre las variables, la ejecución condicional, la ejecución repetida y cómo usamos las funciones.",81004,Self-paced on your time,Introductory,Computer Science,Español,7,49,Low
Analyzing and Visualizing Data with Power BI,Step up your analytics game and learn one of the most in-demand job skills in the United States.,28879,Self-paced on your time,Introductory,Data Analysis & Statistics,English,4,99,Medium
High-Dimensional Data Analysis,A focus on several techniques that are widely used in the analysis of high-dimensional data.,78443,Self-paced on your time,Advanced,Data Analysis & Statistics,English,4,149,Medium
Introduction To Music Theory,"Learn key concepts and approaches needed to understand, create, and perform contemporary music.",67029,Self-paced on your time,Introductory,Humanities,English,6,49,Low
Human Anatomy,The first MOOC to teach Human Anatomy from multiple healthcare professional perspectives through a case-based study of stroke.,126850,Self-paced on your time,Introductory,Medicine,English,8,139,Medium
"CitiesX: The Past, Present and Future of Urban Life","Explore what makes cities energizing, amazing, challenging, and perhaps humanity’s greatest invention.",76874,Self-paced on your time,Introductory,Social Sciences,English,11,99,Medium
The Path to Happiness: What Chinese Philosophy Teaches us about the Good Life,"Why should we care about Confucius? Explore ancient Chinese philosophy, ethics, and political theory to challenge your assumptions of what it means to be happy, live a meaningful life, and change the world.",24208,Self-paced on your time,Introductory,Philosophy & Ethics,English,13,99,Medium
Entrepreneurship 101: Who is your customer?,Entrepreneurship can be learned. Begin your journey by learning the first important skill for aspiring entrepreneurs.,41838,Self-paced on your time,Introductory,Business & Management,English,10,49,Low
"U.S. Public Policy: Social, Economic, and Foreign Policies",Learn about public policy in America and the dynamics of American politics.,44045,Self-paced on your time,Introductory,Social Sciences,English,4,49,Low
Machine Learning with Python: from Linear Models to Deep Learning,"An in-depth introduction to the field of machine learning, from linear models to deep learning and reinforcement learning, through hands-on Python projects. -- Part of the MITx MicroMasters program in Statistics and Data Science.",85561,Instructor-led on a course schedule,Advanced,Computer Science,English,15,300,High
Introduction to Data Science,Learn about the world of data science first-hand from real data scientists.,43766,Self-paced on your time,Introductory,Data Analysis & Statistics,English,6,39,Low
Circuits and Electronics 1: Basic Circuit Analysis,"Learn techniques that are foundational to the design of microchips used in smartphones, self-driving cars, computers, and the Internet.",52639,Self-paced on your time,Introductory,Electronics,English,5,169,High
Introduction to Investments,,91788,Self-paced on your time,Intermediate,Business & Management,English,5,50,Low
Improving Your Business Through a Culture of Health,"Learn how a Culture of Health can transform your business to improve the well-being of your employees and company, while increasing revenue.",54136,Self-paced on your time,Introductory,Business & Management,English,9,99,Medium
Introduction to Linear Models and Matrix Algebra,Learn to use R programming to apply linear models to analyze data in life sciences.,92004,Self-paced on your time,Intermediate,Math,English,4,149,Medium
DO Your Venture: Entrepreneurship For Everyone,This course is part of a MicroMasters® Program,61989,Self-paced on your time,Introductory,Business & Management,English,6,150,Medium
El valor de la creatividad y la innovación: La Economía Naranja,"El primer curso en abordar la importancia de la creatividad, la innovación y la cultura como herramientas fundamentales para impulsar el desarrollo económico en América Latina.",23728,Self-paced on your time,Introductory,Art & Culture,Español,8,25,Low
Humanitarian Response to Conflict and Disaster,"Learn the principles guiding humanitarian response to modern emergencies, and the challenges faced in the field today.",119891,Self-paced on your time,Introductory,Health & Safety,English,5,99,Medium
"Women Making History: Ten Objects, Many Stories","Learn how American women created, confronted, and embraced change in the 20th century while exploring ten objects from Radcliffe’s Schlesinger Library.",38939,Self-paced on your time,Introductory,History,English,8,99,Medium
Masterpieces of World Literature,"Embark on a global journey to explore the past, present, and future of World Literature.",88789,Self-paced on your time,Introductory,Literature,English,12,149,Medium
SQL for Data Science,Learn how to use and apply the powerful language of SQL to better communicate and extract data from databases - a must for anyone working in the data science field.,39184,Self-paced on your time,Introductory,Data Analysis & Statistics,English,4,39,Low
El cerebro y las emociones en el lenguaje,"Conoce cómo se procesa el contenido emocional de los estímulos que captamos con nuestros sentidos, para que puedas, de manera más consiente, producir, modular e interpretar el lenguaje emocional en la interacción con otros.",41279,Self-paced on your time,Introductory,Communication,Español,5,49,Low
Science & Cooking: From Haute Cuisine to Soft Matter Science (physics),"Top chefs and Harvard researchers explore how traditional and modernist cooking techniques can illuminate basic principles in chemistry, physics, and engineering. Learn about elasticity, viscosity, mayonnaise, baking, and more!",62673,Self-paced on your time,Introductory,Physics,English,16,169,High
Python: aprender a programar,"Aprende a programar con Python desde cero. Comienza conociendo variables, bucles y funciones y llega a manejar ficheros de texto.",21613,Self-paced on your time,Introductory,Computer Science,Español,8,49,Low
Marketing Analytics: Competitive Analysis and Market Segmentation,This course is part of a MicroMasters® Program,70682,Self-paced on your time,Intermediate,Computer Science,English,4,249,High
MalariaX: Defeating Malaria from the Genes to the Globe,"How can we eradicate malaria? Explore cutting-edge science and technology, and examine policies needed, to control and eliminate malaria.",37598,Self-paced on your time,Intermediate,Biology & Life Sciences,English,8,49,Low
Entrepreneurship in Emerging Economies,Explore how entrepreneurship and innovation tackle complex social problems in emerging economies.,113602,Self-paced on your time,Introductory,Business & Management,English,6,125,Medium
JavaScript Introduction,"Learn JavaScript, a Web development programming language, to add interactivity to your Web pages, and become an expert Web developer.",160112,Self-paced on your time,Introductory,Computer Science,English,5,199,High
People Management,Learn to be a better manager by developing leadership and communication skills designed to turn first time managers into great team leaders.,113592,Self-paced on your time,Introductory,Business & Management,English,6,150,Medium
Using Email for Networking in English,"Improve your writing skills. Write effective emails including great subject lines, greetings, and closings. You’ll be more confident as you communicate for business, send messages, expand your network, and search for jobs in English.",57208,Self-paced on your time,Introductory,Language,English,4,149,Medium
Databases: Relational Databases and SQL,"This course is one of five self-paced courses on the topic of Databases, originating as one of Stanford's three inaugural massive open online courses released in the fall of 2011. The original ""Databases"" courses are now all available on edx.org.",20502,Self-paced on your time,Introductory,Computer Science,English,2,50,Low
C Programming: Getting Started,Start learning one of the most powerful and widely used programming languages: C.,104108,Self-paced on your time,Introductory,Computer Science,English,7,49,Low
Supply Chain Analytics,"Master and apply the core methodologies used in supply chain analysis and modeling, including statistics, regression, optimization and probability ​- part of the MITx Supply Chain Management MicroMasters Credential.",145049,Instructor-led on a course schedule,Introductory,Business & Management,English,15,199,High
Programming for the Web with JavaScript,"Learn how to develop dynamic, interactive, and data-driven web apps using JavaScript.",91406,Self-paced on your time,Intermediate,Computer Science,English,4,149,Medium
Introduction to Digital Humanities,Develop skills in digital research and visualization techniques across subjects and fields within the humanities.,37501,Self-paced on your time,Introductory,Humanities,English,7,99,Medium
Upper-Intermediate English: Business and Industry,"Take your English language skills to the next level. Learn how to write letters, use appropriate verbal tenses and enhance your vocabulary and grammar, all within the context of business.",103704,Self-paced on your time,Intermediate,Language,English,4,50,Low
EmSAT English Preparation - Level 1,"This Comprehension and Production course focuses on the pre-intermediate level and develops the learner’s reading, listening and study skills. Learners focus on high frequency and academic vocabulary, in addition to being introduced to the EmSAT exam structure.",29101,Self-paced on your time,Introductory,Language,English,6,49,Low
Python for Data Science,"Learn to use powerful, open-source, Python tools, including Pandas, Git and Matplotlib, to manipulate, analyze, and visualize complex datasets.",266978,Self-paced on your time,Advanced,Data Analysis & Statistics,English,10,350,High
Empathy and Emotional Intelligence at Work,"Learn research-based skills to strengthen empathy and trust, improve collaboration, and create more innovative, productive, and satisfying experiences at work.",45867,Self-paced on your time,Introductory,Business & Management,English,4,199,High
Design Thinking and Creativity for Innovation,Learn the fundamentals of how design thinking and creativity can be used to enable innovation.,47549,Self-paced on your time,Intermediate,Business & Management,English,10,5,Low
China and Communism,"Explore the Maoist period of China, from the Communist Party to the death of Mao and the reopening of China.",69104,Self-paced on your time,Introductory,History,English,15,139,Medium
Mandarin Chinese Level 1,"Mandarin Chinese is rapidly becoming one of the top languages to learn, especially for business. Learnbasic language skills for business scenarios in Mandarin-speaking countries.",56040,Self-paced on your time,Introductory,Language,English,6,149,Medium
Introduction to Biology - The Secret of Life,"Explore the secret of life through the basics of biochemistry, genetics, molecular biology, recombinant DNA, genomics and rational medicine.",147512,Instructor-led on a course schedule,Introductory,Biology & Life Sciences,English,16,150,Medium
Photoshop: una herramienta para presentaciones innovadoras,Este es el primer curso en línea para crear y obtener fotografías contundentes para tus presentaciones de alto impacto con el programa Adobe Photoshop.,22969,Self-paced on your time,Introductory,Art & Culture,Español,5,19,Low
Causal Diagrams: Draw Your Assumptions Before Your Conclusions,Learn simple graphical rules that allow you to use intuitive pictures to improve study design and data analysis for causal inference.,50949,Self-paced on your time,Introductory,Data Analysis & Statistics,English,9,99,Medium
生活英语听说 | Conversational English Skills,Learn how to effectively communicate in English and improve your conversational language skills. 你想与native speaker无障碍交流吗？让中外老师和50多位美国、英国、爱尔兰、加拿大、澳大利亚、哥伦比亚的朋友，带你领略一次不一样的英语学习之旅吧。,301585,Self-paced on your time,Introductory,Communication,English,10,49,Low
Shakespeare’s Othello: The Moor,Explore acts of storytelling in Shakespeare's Othello alongside world-class artists who interpret Othello's story in new forms and contexts today.,31868,Self-paced on your time,Introductory,Humanities,English,4,49,Low
Basic Spanish 2: One Step Further,"Beginners course for learners of Spanish that focuses not only on language, but also on cultural aspects, specifically designed for English speakers.",67687,Self-paced on your time,Introductory,Language,English,4,50,Low
Financial Market Analysis,Learn the fundamentals of finance that are essential for both investors and policymakers.,37452,Self-paced on your time,Intermediate,Economics & Finance,English,7,25,Low
CS50's Computer Science for Business Professionals,This is CS50’s introduction to computer science for business professionals.,73208,Self-paced on your time,Introductory,Computer Science,English,6,90,Medium
Gobierno Digital,"Todo lo que quieres saber sobre gobierno digital – qué es, por qué es importante y cómo promoverlo. ",18883,Self-paced on your time,Introductory,Social Sciences,Español,8,25,Low
Upper-Intermediate English: Business and Globalization,"Learn how to write letters, use appropriate verbal tenses and enhance your English vocabulary and grammar, all within the context of globalization.",58532,Self-paced on your time,Intermediate,Language,English,4,50,Low
The Opioid Crisis in America,"Learn about the opioid epidemic in the United States, including information about treatment and recovery from opioid addiction.",54805,Self-paced on your time,Introductory,Medicine,English,10,99,Medium
Gestión de Proyectos de Desarrollo,Un MOOC desarrollado en colaboración con el Project Management Institute Educational Foundation (PMI-EF). Aprende mejores prácticas para gestionar proyectos que promuevan el desarrollo económico y social en América Latina y el Caribe.,306286,Self-paced on your time,Introductory,Business & Management,Español,10,49,Low
